site_id,latitude,longitude,C1_Major_Roads,C5_Competitor_EVCS,C6_POI_Schools,C6_POI_Shopping_Malls,C6_POI_Restaurants,C6_POI_Hospitals,C6_POI_Theatres,C6_POI_Bus_Stops,C6_POI_Petrol_Bunks
SITE_094,25.35771876644162,82.97592578892173,8.9085,1.0,2.6306,3.9664,1.0003,1.0,1.1075,1.0,1.1147
SITE_095,25.36223139599431,82.9759991787834,8.7666,1.0,2.3736,3.5899,1.0,1.0,1.0199,1.0,1.1037
SITE_096,25.26739906436937,82.97942445097966,6.1727,1.0,2.3618,3.3806,5.0088,1.0,1.0524,1.0456,2.6006
SITE_097,25.27191173961703,82.97949767180896,8.139,1.0,2.6566,3.693,4.3896,1.0,1.1674,1.0808,3.4137
SITE_098,25.276424411907204,82.97957091027122,8.7749,1.0,2.9582,3.923,3.8904,1.0,1.4271,1.0878,4.2275
SITE_099,25.28093708123951,82.9796441663693,8.0394,1.0,3.2985,4.0642,3.7854,1.0,1.8771,1.0587,4.7524
SITE_100,25.285449747613526,82.97971744010607,8.1759,1.0,3.6941,4.1359,3.9421,1.0,2.447,1.0244,4.806
SITE_101,25.289962411028842,82.97979073148434,7.6851,1.0,4.1414,4.1841,4.2393,1.0,2.9022,1.0091,4.5283
SITE_102,25.294475071485053,82.97986404050701,7.2284,1.0,4.6171,4.2662,4.7279,1.0,3.0071,1.0168,4.305
SITE_103,25.298987728981736,82.9799373671769,6.4949,1.0,5.0802,4.4204,5.3497,1.0,2.849,1.0641,4.4195
SITE_104,25.3035003835185,82.98001071149687,8.3181,1.0,5.4725,4.6384,5.8206,1.0,2.9042,1.2279,4.794
SITE_105,25.308013035094916,82.9800840734698,7.994,1.0,5.7235,4.8616,5.8945,1.0,3.5659,1.6888,5.0768
SITE_106,25.312525683710597,82.98015745309851,6.9034,1.0,5.7665,5.0093,5.5224,1.0,4.5947,2.5509,4.9515
SITE_107,25.317038329365104,82.98023085038588,8.3587,1.0,5.5659,5.0242,4.7651,1.0,5.3279,3.5194,4.3604
SITE_108,25.321550972058045,82.98030426533477,8.8926,1.0,5.1432,4.9063,3.7692,1.0,5.6,4.2055,3.4913
SITE_109,25.326063611789017,82.98037769794801,7.0853,1.0,4.5831,4.7132,2.7721,1.0,5.9828,4.4409,2.6164
SITE_110,25.330576248557595,82.9804511482285,7.0514,1.0,4.0072,4.5265,1.9797,1.0,6.6975,3.9262,1.9377
SITE_111,25.33508888236338,82.98052461617907,8.0049,1.0,3.5271,4.4058,1.4626,1.0,6.9359,2.7448,1.5229
SITE_112,25.339601513205942,82.98059810180258,8.6855,1.0,3.1993,4.3584,1.182,1.0,5.9265,1.6761,1.3259
SITE_113,25.3441141410849,82.98067160510193,8.8429,1.0,3.0081,4.3393,1.0577,1.0,4.0749,1.1651,1.2503
SITE_114,25.348626765999832,82.98074512607994,8.9977,1.0,2.8847,4.2788,1.0143,1.0,2.4166,1.0251,1.2107
SITE_115,25.353139387950325,82.98081866473949,8.9727,1.0,2.7475,4.119,1.0027,1.0,1.4792,1.0024,1.1653
SITE_116,25.35765200693598,82.98089222108344,7.1388,1.0,2.5393,3.8398,1.0004,1.0,1.1188,1.0001,1.1121
SITE_117,25.362164622956374,82.98096579511468,6.7904,1.0,2.2425,3.4613,1.0,1.0,1.0216,1.0,1.0644
SITE_118,25.267332408625467,82.98438719140117,5.975,1.0,2.275,3.2317,4.5952,1.0,1.0267,1.1574,2.5958
SITE_119,25.271845070326446,82.9844605955137,7.8733,1.0,2.6816,3.6409,4.1671,1.0,1.113,1.3002,3.2961
SITE_120,25.27635772906897,82.9845340173033,8.8976,1.0,3.1324,4.0171,3.9709,1.0,1.3781,1.3514,3.9044
SITE_121,25.28087038485265,82.98460745677285,8.4908,1.0,3.6424,4.3274,4.1096,1.0,1.9788,1.2525,4.2156
SITE_122,25.28538303767707,82.98468091392517,8.1856,1.0,4.2076,4.5581,4.3477,1.0,2.9318,1.1123,4.1952
SITE_123,25.289895687541804,82.98475438876316,8.8967,1.0,4.8066,4.7311,4.6018,1.0,3.896,1.0385,4.1015
SITE_124,25.294408334446473,82.98482788128966,8.8737,1.0,5.4052,4.8985,5.0095,1.0,4.3643,1.0483,4.3463
SITE_125,25.298920978390637,82.98490139150753,7.6976,1.0,5.9574,5.112,5.5909,1.0,4.313,1.1411,5.1609
SITE_126,25.3034336193739,82.98497491941964,7.7314,1.0,6.4037,5.3824,6.1333,1.0,4.4507,1.3051,6.3565
SITE_127,25.307946257395848,82.98504846502885,8.9542,1.0,6.6722,5.6598,6.3852,1.0,5.433,1.5125,7.3964
SITE_128,25.312458892456075,82.98512202833801,7.5502,1.0,6.6941,5.8526,6.1717,1.0,6.8838,1.8545,7.7335
SITE_129,25.316971524554162,82.98519560934999,8.3147,1.0,6.4327,5.8775,5.4318,1.0,7.6952,2.6327,7.1549
SITE_130,25.321484153689703,82.98526920806766,8.3774,1.0,5.9127,5.7093,4.3185,1.0,7.4919,4.1566,5.8847
SITE_131,25.325996779862287,82.98534282449388,8.3304,1.0,5.2286,5.3966,3.1562,1.0,7.0998,5.9097,4.4066
SITE_132,25.330509403071517,82.98541645863153,7.2847,1.0,4.5175,5.0354,2.2142,1.0,7.1129,6.2592,3.1742
SITE_133,25.335022023316967,82.98549011048347,8.6938,1.0,3.9082,4.717,1.5848,1.0,6.8988,4.625,2.4071
SITE_134,25.339534640598227,82.98556378005256,8.1585,1.0,3.4705,4.4837,1.2336,1.0,5.6977,2.5695,2.0595
SITE_135,25.344047254914905,82.98563746734168,8.5614,1.0,3.1949,4.3168,1.0744,1.0,3.851,1.4235,1.9281
SITE_136,25.34855986626657,82.98571117235369,8.4479,1.0,3.0109,4.1576,1.0183,1.0,2.2826,1.0711,1.8133
SITE_137,25.35307247465282,82.98578489509147,8.766,1.0,2.8301,3.9477,1.0034,1.0,1.4242,1.0074,1.6302
SITE_138,25.357585080073253,82.9858586355579,6.8003,1.0,2.5869,3.6593,1.0005,1.0,1.1029,1.0005,1.4092
SITE_139,25.36209768252745,82.98593239375583,6.0973,1.0,2.2576,3.3028,1.0,1.0,1.0183,1.0,1.2186
SITE_140,25.267265586204466,82.98934991414843,5.0809,1.0,2.3408,3.1619,4.2406,1.0,1.0234,1.3835,3.3563
